StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,102
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,29
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,32
Eastern Cascades Slopes and Foothills,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,21
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,0
Central Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,0
Mojave Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,0
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,28
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,71
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,84
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,106
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,50
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,41
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,53
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,65
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,76
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,122
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,103
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,33
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,66
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,43
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,40
Klamath Mountains,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,37
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,0
Northern Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2e3,2e3,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2001,2001,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2002,2002,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2003,2003,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2004,2004,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2005,2005,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2006,2006,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2007,2007,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2008,2008,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2009,2009,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2010,2010,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2011,2011,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2012,2012,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2013,2013,0
Sonoran Basin and Range,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2014,2014,0
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,33
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,62
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,52
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,77
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,44
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,44
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,32
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2006,2006,41
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2007,2007,35
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2008,2008,44
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2009,2009,30
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2010,2010,16
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2011,2011,24
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2012,2012,16
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2013,2013,0
Coast Range,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2014,2014,0
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,1999,1999,0
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2e3,2e3,6
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2001,2001,3
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2002,2002,0
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2003,2003,0
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2004,2004,4
Cascades,Historical Rate: Forest Selection,Historical Year: Forest Harvest,2005,2005,4
