Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2079,California Chaparral and Oak Woodlands,,Fire,791.0612,Normal,Iteration and Timestep,405.680449,385.380751,1196.741649
2080,California Chaparral and Oak Woodlands,,Fire,667.7972,Normal,Iteration and Timestep,392.7573672,275.0398328,1060.554567
2081,California Chaparral and Oak Woodlands,,Fire,800.1845,Normal,Iteration and Timestep,380.3438448,419.8406552,1180.528345
2082,California Chaparral and Oak Woodlands,,Fire,780.0865,Normal,Iteration and Timestep,392.6093371,387.4771629,1172.695837
2083,California Chaparral and Oak Woodlands,,Fire,862.3935,Normal,Iteration and Timestep,376.4093564,485.9841436,1238.802856
2084,California Chaparral and Oak Woodlands,,Fire,604.187,Normal,Iteration and Timestep,421.2553913,182.9316087,1025.442391
2085,California Chaparral and Oak Woodlands,,Fire,677.7405,Normal,Iteration and Timestep,338.5419952,339.1985048,1016.282495
2086,California Chaparral and Oak Woodlands,,Fire,824.3088,Normal,Iteration and Timestep,352.4368066,471.8719934,1176.745607
2087,California Chaparral and Oak Woodlands,,Fire,776.837,Normal,Iteration and Timestep,463.2115315,313.6254685,1240.048532
2088,California Chaparral and Oak Woodlands,,Fire,705.6071,Normal,Iteration and Timestep,294.8042522,410.8028478,1000.411352
2089,California Chaparral and Oak Woodlands,,Fire,545.9082,Normal,Iteration and Timestep,327.77596,218.13224,873.68416
2090,California Chaparral and Oak Woodlands,,Fire,787.8132,Normal,Iteration and Timestep,395.5450446,392.2681554,1183.358245
2091,California Chaparral and Oak Woodlands,,Fire,641.9312,Normal,Iteration and Timestep,288.6237444,353.3074556,930.5549444
2092,California Chaparral and Oak Woodlands,,Fire,616.5156,Normal,Iteration and Timestep,311.6381902,304.8774098,928.1537902
2093,California Chaparral and Oak Woodlands,,Fire,878.2101,Normal,Iteration and Timestep,388.3991324,489.8109676,1266.609232
2094,California Chaparral and Oak Woodlands,,Fire,699.8027,Normal,Iteration and Timestep,410.0151734,289.7875266,1109.817873
2095,California Chaparral and Oak Woodlands,,Fire,766.2509,Normal,Iteration and Timestep,304.984096,461.266804,1071.234996
2096,California Chaparral and Oak Woodlands,,Fire,703.3136,Normal,Iteration and Timestep,401.5299959,301.7836041,1104.843596
2097,California Chaparral and Oak Woodlands,,Fire,705.2491,Normal,Iteration and Timestep,298.3175446,406.9315554,1003.566645
2098,California Chaparral and Oak Woodlands,,Fire,690.6047,Normal,Iteration and Timestep,334.842985,355.761715,1025.447685
2099,California Chaparral and Oak Woodlands,,Fire,601.9949,Normal,Iteration and Timestep,325.1066456,276.8882544,927.1015456
2017,Cascades,,Fire,16.2879,Normal,Iteration and Timestep,54.58554876,0,70.87344876
2018,Cascades,,Fire,5.5935,Normal,Iteration and Timestep,23.24702998,0,28.84052998
2019,Cascades,,Fire,13.3536,Normal,Iteration and Timestep,54.30413946,0,67.65773946
2020,Cascades,,Fire,0.487,Normal,Iteration and Timestep,2.838514514,0,3.325514514
2021,Cascades,,Fire,2.9969,Normal,Iteration and Timestep,11.80594523,0,14.80284523
2022,Cascades,,Fire,27.2682,Normal,Iteration and Timestep,87.3665249,0,114.6347249
2023,Cascades,,Fire,27.9066,Normal,Iteration and Timestep,79.75284819,0,107.6594482
2024,Cascades,,Fire,17.1579,Normal,Iteration and Timestep,76.23745795,0,93.39535795
2025,Cascades,,Fire,15.7007,Normal,Iteration and Timestep,60.96297579,0,76.66367579
2026,Cascades,,Fire,11.447,Normal,Iteration and Timestep,69.61083096,0,81.05783096
2027,Cascades,,Fire,12.2267,Normal,Iteration and Timestep,62.01306373,0,74.23976373
2028,Cascades,,Fire,30.2395,Normal,Iteration and Timestep,106.2289827,0,136.4684827
2029,Cascades,,Fire,9.2471,Normal,Iteration and Timestep,24.24531017,0,33.49241017
