Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2059,Cascades,,Fire,3.7822,Normal,Iteration and Timestep,11.85402992,0,15.63622992
2060,Cascades,,Fire,7.258,Normal,Iteration and Timestep,27.15259565,0,34.41059565
2061,Cascades,,Fire,13.4881,Normal,Iteration and Timestep,61.12800125,0,74.61610125
2062,Cascades,,Fire,45.0276,Normal,Iteration and Timestep,101.6586987,0,146.6862987
2063,Cascades,,Fire,3.235,Normal,Iteration and Timestep,11.33724375,0,14.57224375
2064,Cascades,,Fire,16.9294,Normal,Iteration and Timestep,48.97732936,0,65.90672936
2065,Cascades,,Fire,20.8794,Normal,Iteration and Timestep,59.5130107,0,80.3924107
2066,Cascades,,Fire,9.0262,Normal,Iteration and Timestep,36.25785685,0,45.28405685
2067,Cascades,,Fire,8.1744,Normal,Iteration and Timestep,24.69205689,0,32.86645689
2068,Cascades,,Fire,12.9954,Normal,Iteration and Timestep,33.59651438,0,46.59191438
2069,Cascades,,Fire,4.8508,Normal,Iteration and Timestep,17.77311207,0,22.62391207
2070,Cascades,,Fire,12.8162,Normal,Iteration and Timestep,43.2617497,0,56.0779497
2071,Cascades,,Fire,37.6556,Normal,Iteration and Timestep,131.7128507,0,169.3684507
2072,Cascades,,Fire,9.0375,Normal,Iteration and Timestep,39.11854032,0,48.15604032
2073,Cascades,,Fire,12.8509,Normal,Iteration and Timestep,36.51294706,0,49.36384706
2074,Cascades,,Fire,32.3745,Normal,Iteration and Timestep,59.64099848,0,92.01549848
2075,Cascades,,Fire,9.3411,Normal,Iteration and Timestep,80.18153484,0,89.52263484
2076,Cascades,,Fire,5.7222,Normal,Iteration and Timestep,20.4021141,0,26.1243141
2077,Cascades,,Fire,6.4559,Normal,Iteration and Timestep,41.0480071,0,47.5039071
2078,Cascades,,Fire,6.6741,Normal,Iteration and Timestep,25.80320973,0,32.47730973
2079,Cascades,,Fire,10.714,Normal,Iteration and Timestep,40.20068475,0,50.91468475
2080,Cascades,,Fire,3.7357,Normal,Iteration and Timestep,14.94681056,0,18.68251056
2081,Cascades,,Fire,11.0199,Normal,Iteration and Timestep,59.12489102,0,70.14479102
2082,Cascades,,Fire,18.7891,Normal,Iteration and Timestep,72.03523134,0,90.82433134
2083,Cascades,,Fire,16.7296,Normal,Iteration and Timestep,83.85759886,0,100.5871989
2084,Cascades,,Fire,10.8369,Normal,Iteration and Timestep,40.04571574,0,50.88261574
2085,Cascades,,Fire,18.0715,Normal,Iteration and Timestep,90.30902274,0,108.3805227
2086,Cascades,,Fire,21.2201,Normal,Iteration and Timestep,50.63392198,0,71.85402198
2087,Cascades,,Fire,2.6968,Normal,Iteration and Timestep,11.29404964,0,13.99084964
2088,Cascades,,Fire,4.0981,Normal,Iteration and Timestep,24.85931664,0,28.95741664
2089,Cascades,,Fire,17.9982,Normal,Iteration and Timestep,82.47573599,0,100.473936
2090,Cascades,,Fire,4.8925,Normal,Iteration and Timestep,15.87245453,0,20.76495453
2091,Cascades,,Fire,14.0283,Normal,Iteration and Timestep,60.04940315,0,74.07770315
2092,Cascades,,Fire,54.1777,Normal,Iteration and Timestep,123.8461532,0,178.0238532
2093,Cascades,,Fire,10.2379,Normal,Iteration and Timestep,68.41477867,0,78.65267867
2094,Cascades,,Fire,28.5182,Normal,Iteration and Timestep,66.7809509,0,95.2991509
2095,Cascades,,Fire,16.1703,Normal,Iteration and Timestep,45.74330639,0,61.91360639
2096,Cascades,,Fire,24.0883,Normal,Iteration and Timestep,85.47986108,0,109.5681611
2097,Cascades,,Fire,7.381,Normal,Iteration and Timestep,26.61520738,0,33.99620738
2098,Cascades,,Fire,29.3184,Normal,Iteration and Timestep,73.45004497,0,102.768445
2099,Cascades,,Fire,31.4161,Normal,Iteration and Timestep,101.3243848,0,132.7404848
2017,Central Basin and Range,,Fire,42.0295,Normal,Iteration and Timestep,112.0762734,0,154.1057734
2018,Central Basin and Range,,Fire,48.3748,Normal,Iteration and Timestep,112.2383807,0,160.6131807
2019,Central Basin and Range,,Fire,45.0964,Normal,Iteration and Timestep,105.599007,0,150.695407
2020,Central Basin and Range,,Fire,26.8656,Normal,Iteration and Timestep,77.70483114,0,104.5704311
2021,Central Basin and Range,,Fire,35.9111,Normal,Iteration and Timestep,108.4430651,0,144.3541651
2022,Central Basin and Range,,Fire,54.5912,Normal,Iteration and Timestep,139.3810538,0,193.9722538
2023,Central Basin and Range,,Fire,33.0248,Normal,Iteration and Timestep,88.82826681,0,121.8530668
2024,Central Basin and Range,,Fire,33.912,Normal,Iteration and Timestep,63.09587009,0,97.00787009
2025,Central Basin and Range,,Fire,43.4286,Normal,Iteration and Timestep,95.05253368,0,138.4811337
2026,Central Basin and Range,,Fire,18.5246,Normal,Iteration and Timestep,34.67043349,0,53.19503349
2027,Central Basin and Range,,Fire,24.5766,Normal,Iteration and Timestep,38.79405076,0,63.37065076
2028,Central Basin and Range,,Fire,40.0839,Normal,Iteration and Timestep,79.87455908,0,119.9584591
2029,Central Basin and Range,,Fire,48.619,Normal,Iteration and Timestep,119.5169708,0,168.1359708
2030,Central Basin and Range,,Fire,39.848,Normal,Iteration and Timestep,121.3545451,0,161.2025451
2031,Central Basin and Range,,Fire,34.1009,Normal,Iteration and Timestep,73.01594423,0,107.1168442
2032,Central Basin and Range,,Fire,25.7604,Normal,Iteration and Timestep,50.29049043,0,76.05089043
2033,Central Basin and Range,,Fire,24.9644,Normal,Iteration and Timestep,67.88794188,0,92.85234188
2034,Central Basin and Range,,Fire,13.5963,Normal,Iteration and Timestep,24.30256871,0,37.89886871
2035,Central Basin and Range,,Fire,28.4921,Normal,Iteration and Timestep,61.60377476,0,90.09587476
2036,Central Basin and Range,,Fire,24.7965,Normal,Iteration and Timestep,48.81398432,0,73.61048432
2037,Central Basin and Range,,Fire,85.7306,Normal,Iteration and Timestep,159.8120564,0,245.5426564
2038,Central Basin and Range,,Fire,23.4088,Normal,Iteration and Timestep,42.87910643,0,66.28790643
2039,Central Basin and Range,,Fire,25.4084,Normal,Iteration and Timestep,39.66396374,0,65.07236374
2040,Central Basin and Range,,Fire,59.766,Normal,Iteration and Timestep,146.1469151,0,205.9129151
2041,Central Basin and Range,,Fire,54.9321,Normal,Iteration and Timestep,101.7655619,0,156.6976619
2042,Central Basin and Range,,Fire,64.8255,Normal,Iteration and Timestep,158.0621876,0,222.8876876
2043,Central Basin and Range,,Fire,51.3343,Normal,Iteration and Timestep,120.9739392,0,172.3082392
2044,Central Basin and Range,,Fire,28.8116,Normal,Iteration and Timestep,67.48044634,0,96.29204634
2045,Central Basin and Range,,Fire,27.3118,Normal,Iteration and Timestep,52.98592425,0,80.29772425
2046,Central Basin and Range,,Fire,31.3294,Normal,Iteration and Timestep,78.72319519,0,110.0525952
2047,Central Basin and Range,,Fire,29.0952,Normal,Iteration and Timestep,70.21777904,0,99.31297904
2048,Central Basin and Range,,Fire,32.299,Normal,Iteration and Timestep,57.58430132,0,89.88330132
2049,Central Basin and Range,,Fire,34.1572,Normal,Iteration and Timestep,101.1159699,0,135.2731699
2050,Central Basin and Range,,Fire,62.0062,Normal,Iteration and Timestep,156.1682074,0,218.1744074
2051,Central Basin and Range,,Fire,37.1038,Normal,Iteration and Timestep,112.4288538,0,149.5326538
