Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2094,California Chaparral and Oak Woodlands,,Fire,1035.2399,Normal,Iteration and Timestep,427.3818072,607.8580928,1462.621707
2095,California Chaparral and Oak Woodlands,,Fire,685.7097,Normal,Iteration and Timestep,374.4842989,311.2254011,1060.193999
2096,California Chaparral and Oak Woodlands,,Fire,701.8268,Normal,Iteration and Timestep,358.7483884,343.0784116,1060.575188
2097,California Chaparral and Oak Woodlands,,Fire,736.8116,Normal,Iteration and Timestep,405.7480428,331.0635572,1142.559643
2098,California Chaparral and Oak Woodlands,,Fire,650.5813,Normal,Iteration and Timestep,318.7788382,331.8024618,969.3601382
2099,California Chaparral and Oak Woodlands,,Fire,611.0864,Normal,Iteration and Timestep,380.7946413,230.2917587,991.8810413
2017,Cascades,,Fire,8.2942,Normal,Iteration and Timestep,33.03777117,0,41.33197117
2018,Cascades,,Fire,10.4525,Normal,Iteration and Timestep,29.73137711,0,40.18387711
2019,Cascades,,Fire,17.9668,Normal,Iteration and Timestep,86.04156851,0,104.0083685
2020,Cascades,,Fire,11.6544,Normal,Iteration and Timestep,44.61614298,0,56.27054298
2021,Cascades,,Fire,11.2209,Normal,Iteration and Timestep,40.57406982,0,51.79496982
2022,Cascades,,Fire,3.6777,Normal,Iteration and Timestep,11.92364257,0,15.60134257
2023,Cascades,,Fire,6.8727,Normal,Iteration and Timestep,29.61777043,0,36.49047043
2024,Cascades,,Fire,15.5057,Normal,Iteration and Timestep,51.2223013,0,66.7280013
2025,Cascades,,Fire,19.1425,Normal,Iteration and Timestep,92.61966011,0,111.7621601
2026,Cascades,,Fire,36.921,Normal,Iteration and Timestep,97.78381149,0,134.7048115
2027,Cascades,,Fire,72.946,Normal,Iteration and Timestep,162.8831299,0,235.8291299
2028,Cascades,,Fire,5.976,Normal,Iteration and Timestep,26.61109361,0,32.58709361
2029,Cascades,,Fire,14.3215,Normal,Iteration and Timestep,62.11524349,0,76.43674349
2030,Cascades,,Fire,31.0109,Normal,Iteration and Timestep,125.4587021,0,156.4696021
2031,Cascades,,Fire,15.7651,Normal,Iteration and Timestep,87.66215843,0,103.4272584
2032,Cascades,,Fire,6.5698,Normal,Iteration and Timestep,34.32961507,0,40.89941507
2033,Cascades,,Fire,6.2655,Normal,Iteration and Timestep,18.77372451,0,25.03922451
2034,Cascades,,Fire,66.8681,Normal,Iteration and Timestep,132.681914,0,199.550014
2035,Cascades,,Fire,5.9174,Normal,Iteration and Timestep,15.98740815,0,21.90480815
2036,Cascades,,Fire,4.6935,Normal,Iteration and Timestep,24.02172436,0,28.71522436
2037,Cascades,,Fire,6.8245,Normal,Iteration and Timestep,27.26933666,0,34.09383666
2038,Cascades,,Fire,12.5744,Normal,Iteration and Timestep,48.86064466,0,61.43504466
2039,Cascades,,Fire,7.6164,Normal,Iteration and Timestep,29.67426377,0,37.29066377
2040,Cascades,,Fire,13.2713,Normal,Iteration and Timestep,43.00390301,0,56.27520301
2041,Cascades,,Fire,6.4032,Normal,Iteration and Timestep,15.72274553,0,22.12594553
2042,Cascades,,Fire,15.047,Normal,Iteration and Timestep,65.31393907,0,80.36093907
2043,Cascades,,Fire,14.619,Normal,Iteration and Timestep,47.29519735,0,61.91419735
2044,Cascades,,Fire,21.8052,Normal,Iteration and Timestep,64.24139497,0,86.04659497
2045,Cascades,,Fire,2.3567,Normal,Iteration and Timestep,7.38123064,0,9.73793064
2046,Cascades,,Fire,6.9812,Normal,Iteration and Timestep,26.4141511,0,33.3953511
2047,Cascades,,Fire,12.5311,Normal,Iteration and Timestep,37.88555909,0,50.41665909
2048,Cascades,,Fire,69.2198,Normal,Iteration and Timestep,120.2201403,0,189.4399403
2049,Cascades,,Fire,7.4096,Normal,Iteration and Timestep,33.20045627,0,40.61005627
2050,Cascades,,Fire,17.4562,Normal,Iteration and Timestep,83.87401279,0,101.3302128
2051,Cascades,,Fire,24.3275,Normal,Iteration and Timestep,88.75566106,0,113.0831611
2052,Cascades,,Fire,5.0439,Normal,Iteration and Timestep,20.97040184,0,26.01430184
2053,Cascades,,Fire,13.7598,Normal,Iteration and Timestep,55.22666537,0,68.98646537
2054,Cascades,,Fire,4.7669,Normal,Iteration and Timestep,14.62199531,0,19.38889531
2055,Cascades,,Fire,2.8817,Normal,Iteration and Timestep,12.8416189,0,15.7233189
2056,Cascades,,Fire,14.6579,Normal,Iteration and Timestep,58.64129257,0,73.29919257
2057,Cascades,,Fire,33.0165,Normal,Iteration and Timestep,110.345672,0,143.362172
2058,Cascades,,Fire,14.0207,Normal,Iteration and Timestep,43.99304172,0,58.01374172
2059,Cascades,,Fire,25.4034,Normal,Iteration and Timestep,71.88312768,0,97.28652768
2060,Cascades,,Fire,7.0545,Normal,Iteration and Timestep,36.48776475,0,43.54226475
2061,Cascades,,Fire,6.2374,Normal,Iteration and Timestep,27.05315541,0,33.29055541
2062,Cascades,,Fire,39.0695,Normal,Iteration and Timestep,138.9791818,0,178.0486818
2063,Cascades,,Fire,6.4973,Normal,Iteration and Timestep,17.28185993,0,23.77915993
2064,Cascades,,Fire,48.1601,Normal,Iteration and Timestep,119.4098432,0,167.5699432
