Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2059,Central Basin and Range,,Fire,31.9121,Normal,Iteration and Timestep,88.7563055,0,120.6684055
2060,Central Basin and Range,,Fire,25.6393,Normal,Iteration and Timestep,74.33175304,0,99.97105304
2061,Central Basin and Range,,Fire,14.7728,Normal,Iteration and Timestep,28.38550477,0,43.15830477
2062,Central Basin and Range,,Fire,9.1736,Normal,Iteration and Timestep,20.7889598,0,29.9625598
2063,Central Basin and Range,,Fire,8.1641,Normal,Iteration and Timestep,18.82436333,0,26.98846333
2064,Central Basin and Range,,Fire,9.3874,Normal,Iteration and Timestep,15.02749599,0,24.41489599
2065,Central Basin and Range,,Fire,16.991,Normal,Iteration and Timestep,31.46974659,0,48.46074659
2066,Central Basin and Range,,Fire,15.0872,Normal,Iteration and Timestep,28.76063816,0,43.84783816
2067,Central Basin and Range,,Fire,22.3308,Normal,Iteration and Timestep,74.59665688,0,96.92745688
2068,Central Basin and Range,,Fire,15.3043,Normal,Iteration and Timestep,50.28311204,0,65.58741204
2069,Central Basin and Range,,Fire,23.4577,Normal,Iteration and Timestep,40.44516012,0,63.90286012
2070,Central Basin and Range,,Fire,39.4472,Normal,Iteration and Timestep,154.4831928,0,193.9303928
2071,Central Basin and Range,,Fire,13.0669,Normal,Iteration and Timestep,31.19427122,0,44.26117122
2072,Central Basin and Range,,Fire,24.0689,Normal,Iteration and Timestep,56.78327764,0,80.85217764
2073,Central Basin and Range,,Fire,16.3956,Normal,Iteration and Timestep,25.43174614,0,41.82734614
2074,Central Basin and Range,,Fire,10.0044,Normal,Iteration and Timestep,21.52966585,0,31.53406585
2075,Central Basin and Range,,Fire,15.1199,Normal,Iteration and Timestep,25.3663924,0,40.4862924
2076,Central Basin and Range,,Fire,5.2847,Normal,Iteration and Timestep,8.296879108,0,13.58157911
2077,Central Basin and Range,,Fire,9.6193,Normal,Iteration and Timestep,18.26522198,0,27.88452198
2078,Central Basin and Range,,Fire,11.9654,Normal,Iteration and Timestep,31.31498649,0,43.28038649
2079,Central Basin and Range,,Fire,7.9764,Normal,Iteration and Timestep,17.49399773,0,25.47039773
2080,Central Basin and Range,,Fire,16.5198,Normal,Iteration and Timestep,50.15528581,0,66.67508581
2081,Central Basin and Range,,Fire,25.6208,Normal,Iteration and Timestep,60.09992798,0,85.72072798
2082,Central Basin and Range,,Fire,13.6364,Normal,Iteration and Timestep,25.64158993,0,39.27798993
2083,Central Basin and Range,,Fire,13.2551,Normal,Iteration and Timestep,39.44202908,0,52.69712908
2084,Central Basin and Range,,Fire,12.8549,Normal,Iteration and Timestep,40.01524441,0,52.87014441
2085,Central Basin and Range,,Fire,7.6993,Normal,Iteration and Timestep,14.67298571,0,22.37228571
2086,Central Basin and Range,,Fire,6.6685,Normal,Iteration and Timestep,13.40333008,0,20.07183008
2087,Central Basin and Range,,Fire,10.0945,Normal,Iteration and Timestep,18.81103595,0,28.90553595
2088,Central Basin and Range,,Fire,10.8786,Normal,Iteration and Timestep,21.76379507,0,32.64239507
2089,Central Basin and Range,,Fire,8.4319,Normal,Iteration and Timestep,26.43103852,0,34.86293852
