"TransitionGroupID","Timestep","Amount","StratumID"
"Fire: Low Severity [Type]","2061",0.98859922829582,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2062",1.162288,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2062",0.988345877813505,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2062",0.988345877813505,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2063",1.165816,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2063",0.98809252733119,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2063",0.98809252733119,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2064",1.169344,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2064",0.987839176848874,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2064",0.987839176848875,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2065",1.172872,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2065",0.987585826366559,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2065",0.987585826366559,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2066",1.1764,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2066",0.987332475884244,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2066",0.987332475884244,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2067",1.179928,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2067",0.987079125401929,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2067",0.987079125401929,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2068",1.183456,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2068",0.986825774919614,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2068",0.986825774919614,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2069",1.186984,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2069",0.986572424437299,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2069",0.986572424437299,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2070",1.190512,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2070",0.986319073954984,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2070",0.986319073954984,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2071",1.19404,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2071",0.986065723472669,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2071",0.986065723472669,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2072",1.197568,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2072",0.985812372990354,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2072",0.985812372990354,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2073",1.201096,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2073",0.985559022508039,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2073",0.985559022508038,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2074",1.204624,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2074",0.985305672025724,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2074",0.985305672025724,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2075",1.208152,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2075",0.985052321543408,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2075",0.985052321543408,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2076",1.21168,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2076",0.984798971061093,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2076",0.984798971061093,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2077",1.215208,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2077",0.984545620578778,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2077",0.984545620578778,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2078",1.218736,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2078",0.984292270096463,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2078",0.984292270096463,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2079",1.222264,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2079",0.984038919614148,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2079",0.984038919614148,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2080",1.225792,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2080",0.983785569131833,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2080",0.983785569131833,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2081",1.22932,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2081",0.983532218649518,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2081",0.983532218649518,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2082",1.232848,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2082",0.983278868167202,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2082",0.983278868167202,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2083",1.236376,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2083",0.983025517684887,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2083",0.983025517684888,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2084",1.239904,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2084",0.982772167202572,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2084",0.982772167202572,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2085",1.243432,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2085",0.982518816720257,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2085",0.982518816720257,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2086",1.24696,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2086",0.982265466237942,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2086",0.982265466237942,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2087",1.250488,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2087",0.982012115755627,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2087",0.982012115755627,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2088",1.254016,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2088",0.981758765273312,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2088",0.981758765273312,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2089",1.257544,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2089",0.981505414790997,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2089",0.981505414790997,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2090",1.261072,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2090",0.981252064308682,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2090",0.981252064308682,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2091",1.2646,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2091",0.980998713826366,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2091",0.980998713826366,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2092",1.268128,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2092",0.980745363344051,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2092",0.980745363344051,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2093",1.271656,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2093",0.980492012861736,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2093",0.980492012861736,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2094",1.275184,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2094",0.980238662379421,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2094",0.980238662379421,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2095",1.278712,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2095",0.979985311897106,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2095",0.979985311897106,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2096",1.28224,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2096",0.979731961414791,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2096",0.979731961414791,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2097",1.285768,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2097",0.979478610932476,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2097",0.979478610932476,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2098",1.289296,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2098",0.979225260450161,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2098",0.979225260450161,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2099",1.292824,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2099",0.978971909967845,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2099",0.978971909967846,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2100",1.296352,"Sonoran Basin and Range"
"Fire: Medium Severity [Type]","2100",0.97871855948553,"Sonoran Basin and Range"
"Fire: Low Severity [Type]","2100",0.97871855948553,"Sonoran Basin and Range"
"Fire: High Severity [Type]","2017",1.003528,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2017",0.998827244813278,"Northern Basin and Range"
"Fire: Low Severity [Type]","2017",0.998827244813278,"Northern Basin and Range"
"Fire: High Severity [Type]","2018",1.007056,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2018",0.998691834024896,"Northern Basin and Range"
"Fire: Low Severity [Type]","2018",0.998691834024896,"Northern Basin and Range"
"Fire: High Severity [Type]","2019",1.010584,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2019",0.998556423236515,"Northern Basin and Range"
"Fire: Low Severity [Type]","2019",0.998556423236515,"Northern Basin and Range"
"Fire: High Severity [Type]","2020",1.014112,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2020",0.998421012448133,"Northern Basin and Range"
"Fire: Low Severity [Type]","2020",0.998421012448133,"Northern Basin and Range"
"Fire: High Severity [Type]","2021",1.01764,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2021",0.998285601659751,"Northern Basin and Range"
"Fire: Low Severity [Type]","2021",0.998285601659751,"Northern Basin and Range"
"Fire: High Severity [Type]","2022",1.021168,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2022",0.998150190871369,"Northern Basin and Range"
"Fire: Low Severity [Type]","2022",0.998150190871369,"Northern Basin and Range"
"Fire: High Severity [Type]","2023",1.024696,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2023",0.998014780082988,"Northern Basin and Range"
"Fire: Low Severity [Type]","2023",0.998014780082988,"Northern Basin and Range"
"Fire: High Severity [Type]","2024",1.028224,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2024",0.997879369294606,"Northern Basin and Range"
"Fire: Low Severity [Type]","2024",0.997879369294606,"Northern Basin and Range"
"Fire: High Severity [Type]","2025",1.031752,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2025",0.997743958506224,"Northern Basin and Range"
"Fire: Low Severity [Type]","2025",0.997743958506224,"Northern Basin and Range"
"Fire: High Severity [Type]","2026",1.03528,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2026",0.997608547717842,"Northern Basin and Range"
"Fire: Low Severity [Type]","2026",0.997608547717842,"Northern Basin and Range"
"Fire: High Severity [Type]","2027",1.038808,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2027",0.997473136929461,"Northern Basin and Range"
"Fire: Low Severity [Type]","2027",0.997473136929461,"Northern Basin and Range"
"Fire: High Severity [Type]","2028",1.042336,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2028",0.997337726141079,"Northern Basin and Range"
"Fire: Low Severity [Type]","2028",0.997337726141079,"Northern Basin and Range"
"Fire: High Severity [Type]","2029",1.045864,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2029",0.997202315352697,"Northern Basin and Range"
"Fire: Low Severity [Type]","2029",0.997202315352697,"Northern Basin and Range"
"Fire: High Severity [Type]","2030",1.049392,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2030",0.997066904564315,"Northern Basin and Range"
"Fire: Low Severity [Type]","2030",0.997066904564315,"Northern Basin and Range"
"Fire: High Severity [Type]","2031",1.05292,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2031",0.996931493775934,"Northern Basin and Range"
"Fire: Low Severity [Type]","2031",0.996931493775934,"Northern Basin and Range"
"Fire: High Severity [Type]","2032",1.056448,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2032",0.996796082987552,"Northern Basin and Range"
"Fire: Low Severity [Type]","2032",0.996796082987552,"Northern Basin and Range"
"Fire: High Severity [Type]","2033",1.059976,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2033",0.99666067219917,"Northern Basin and Range"
"Fire: Low Severity [Type]","2033",0.99666067219917,"Northern Basin and Range"
"Fire: High Severity [Type]","2034",1.063504,"Northern Basin and Range"
"Fire: Medium Severity [Type]","2034",0.996525261410788,"Northern Basin and Range"
"Fire: Low Severity [Type]","2034",0.996525261410788,"Northern Basin and Range"
