Timestep,StratumID,TransitionGroupID,Amount
2022,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39291196708860765
2022,Cascades,Fire: Low Severity [Type],0.684
2022,Central Basin and Range,Fire: Low Severity [Type],0.47298094678899083
2022,Central California Valley,Fire: Low Severity [Type],0.7362924297872341
2022,Coast Range,Fire: Low Severity [Type],0.538575834741784
2022,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.46965136363636373
2022,Klamath Mountains,Fire: Low Severity [Type],0.4021451999999999
2022,Mojave Basin and Range,Fire: Low Severity [Type],0.6536683048523207
2022,Northern Basin and Range,Fire: Low Severity [Type],0.6488904628630705
2022,Sierra Nevada,Fire: Low Severity [Type],0.3666528672611466
2022,Sonoran Basin and Range,Fire: Low Severity [Type],0.647320718113612
2022,Southern California Mountains,Fire: Low Severity [Type],0.31400725729442974
2023,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.223776
2023,Cascades,Fire: High Severity [Type],0
2023,Central Basin and Range,Fire: High Severity [Type],0.1363968
2023,Central California Valley,Fire: High Severity [Type],0.063936
2023,Coast Range,Fire: High Severity [Type],0.1577088
2023,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.17475840000000004
2023,Klamath Mountains,Fire: High Severity [Type],0.21312000000000003
2023,Mojave Basin and Range,Fire: High Severity [Type],0.0543456
2023,Northern Basin and Range,Fire: High Severity [Type],0.0394272
2023,Sierra Nevada,Fire: High Severity [Type],0.22803840000000003
2023,Sonoran Basin and Range,Fire: High Severity [Type],0.0713952
2023,Southern California Mountains,Fire: High Severity [Type],0.2621376
2023,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.38418175189873416
2023,Cascades,Fire: Medium Severity [Type],0.316
2023,Central Basin and Range,Fire: Medium Severity [Type],0.3911964036697248
2023,Central California Valley,Fire: Medium Severity [Type],0.20015836595744685
2023,Coast Range,Fire: Medium Severity [Type],0.3044902460093896
2023,Eastern Cascades Slopes and Foothills,Fire: Medium Severity [Type],0.3563543272727273
2023,Klamath Mountains,Fire: Medium Severity [Type],0.3855712
2023,Mojave Basin and Range,Fire: Medium Severity [Type],0.292275041350211
2023,Northern Basin and Range,Fire: Medium Severity [Type],0.3118872265560166
2023,Sierra Nevada,Fire: Medium Severity [Type],0.40614030675159235
2023,Sonoran Basin and Range,Fire: Medium Severity [Type],0.28166683644158624
2023,Southern California Mountains,Fire: Medium Severity [Type],0.42471124880636607
2023,California Chaparral and Oak Woodlands,Fire: Low Severity [Type],0.39204224810126587
2023,Cascades,Fire: Low Severity [Type],0.684
2023,Central Basin and Range,Fire: Low Severity [Type],0.47240679633027527
2023,Central California Valley,Fire: Low Severity [Type],0.7359056340425532
2023,Coast Range,Fire: Low Severity [Type],0.5378009539906103
2023,Eastern Cascades Slopes and Foothills,Fire: Low Severity [Type],0.46888727272727276
2023,Klamath Mountains,Fire: Low Severity [Type],0.4013087999999999
2023,Mojave Basin and Range,Fire: Low Severity [Type],0.6533793586497891
2023,Northern Basin and Range,Fire: Low Severity [Type],0.6486855734439835
2023,Sierra Nevada,Fire: Low Severity [Type],0.3658212932484077
2023,Sonoran Basin and Range,Fire: Low Severity [Type],0.6469379635584137
2023,Southern California Mountains,Fire: Low Severity [Type],0.31315115119363396
2024,California Chaparral and Oak Woodlands,Fire: High Severity [Type],0.225498
2024,Cascades,Fire: High Severity [Type],0
2024,Central Basin and Range,Fire: High Severity [Type],0.13744640000000002
2024,Central California Valley,Fire: High Severity [Type],0.064428
2024,Coast Range,Fire: High Severity [Type],0.1589224
2024,Eastern Cascades Slopes and Foothills,Fire: High Severity [Type],0.17610320000000002
2024,Klamath Mountains,Fire: High Severity [Type],0.21476000000000003
2024,Mojave Basin and Range,Fire: High Severity [Type],0.0547638
2024,Northern Basin and Range,Fire: High Severity [Type],0.0397306
2024,Sierra Nevada,Fire: High Severity [Type],0.2297932
2024,Sonoran Basin and Range,Fire: High Severity [Type],0.07194460000000001
2024,Southern California Mountains,Fire: High Severity [Type],0.2641548
2024,California Chaparral and Oak Woodlands,Fire: Medium Severity [Type],0.38332947088607594
2024,Cascades,Fire: Medium Severity [Type],0.316
2024,Central Basin and Range,Fire: Medium Severity [Type],0.39072095412844043
2024,Central California Valley,Fire: Medium Severity [Type],0.20005316170212767
