StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD
Grassland:Composted,96,96,Growth,Composting,1.0604609372312268,Normal,Always,0.008644161109058579
Grassland:Composted,97,97,Growth,Composting,1.0582597794746047,Normal,Always,0.01822518337626871
Grassland:Composted,98,98,Growth,Composting,1.0560649085748675,Normal,Always,0.00616101074259485
Grassland:Composted,99,99,Growth,Composting,1.053875698249699,Normal,Always,0.028904488751483843
Grassland:Composted,100,100,Growth,Composting,1.0516915222167837,Normal,Always,0.009615297456716512
Grassland:Composted,101,101,Growth,Composting,1.0495117541938053,Normal,Always,0.0027240814434465617
Grassland:Composted,102,102,Growth,Composting,1.0473357678984476,Normal,Always,0.0030712718187553985
Grassland:Composted,103,103,Growth,Composting,1.0451629370483948,Normal,Always,0.003269440363477232
Grassland:Composted,104,104,Growth,Composting,1.042992635361331,Normal,Always,0.0014190014865754642
Grassland:Composted,105,105,Growth,Composting,1.04082423655494,Normal,Always,0.006668122769819357
